#Level 1 City Coordinates
## Group 0 (X: 0-99)
(57, 204)
(91, 220)
(51, 229)
(87, 234)
(90, 236)
(84, 242)
(69, 244)
(86, 245)
(79, 285)
(86, 294)
(51, 300)
(70, 317)
(66, 379)
(92, 389)
(94, 539)
(50, 681)
(96, 676)
(72, 678)
(63, 704)
(97, 709)
(74, 710)
(80, 710)
(78, 716)
(62, 752)
(69, 771)
(58, 782)
(69, 781)
(97, 798)
(81, 850)
(87, 829)
(87, 853)
(56, 865)
(80, 868)
(96, 872)
(92, 864)
(91, 874)
(91, 837)

## Group 1 (X: 100-199)
(128, 65)
(127, 70)
(150, 86)
(130, 96)
(174, 908)

## Group 2 (X: 200-299)
(296, 62)
(303, 62)
(277, 65)
(248, 70)
(293, 72)
(279, 82)
(216, 87)
(243, 94)
(249, 97)
(216, 935)
(245, 903)
(289, 921)
(242, 926)
(290, 933)
(227, 941)
(208, 946)
(211, 949)

## Group 3 (X: 300-399)
(362, 54)
(306, 61)
(316, 66)
(386, 74)
(351, 78)
(357, 79)
(362, 79)
(367, 85)
(371, 91)
(377, 93)
(385, 95)
(360, 900)
(376, 906)
(386, 907)
(381, 915)
(382, 930)
(383, 930)
(397, 932)
(354, 933)
(374, 934)
(310, 939)
(319, 939)
(305, 925)

## Group 4 (X: 400-499)
(439, 51)
(440, 51)
(430, 52)
(462, 55)
(471, 55)
(443, 65)
(461, 66)
(443, 83)
(472, 925)
(429, 931)
(426, 945)
(448, 944)

## Group 5 (X: 500-599)
(536, 65)
(525, 92)
(574, 941)
(565, 926)

## Group 6 (X: 600-699)
(644, 50)
(605, 52)
(611, 53)
(687, 53)
(681, 55)
(644, 58)
(704, 58)
(619, 60)
(712, 64)
(634, 72)
(605, 73)
(689, 82)
(706, 83)
(615, 95)
(639, 900)
(642, 905)
(697, 906)
(621, 909)
(622, 909)
(626, 911)
(676, 915)
(696, 929)
(607, 923)
(704, 921)
(696, 930)
(603, 934)
(608, 936)
(701, 938)
(640, 940)
(648, 947)

## Group 7 (X: 700-799)
(785, 66)
(787, 77)
(783, 78)
(768, 904)
(753, 911)
(762, 918)
(795, 928)
(791, 935)
(724, 939)
(752, 939)
(711, 945)
(795, 947)

## Group 8 (X: 800-899)
(871, 53)
(843, 57)
(859, 58)
(834, 62)
(838, 68)
(834, 70)
(864, 78)
(846, 90)
(849, 905)
(871, 909)
(842, 915)
(858, 929)
(869, 936)
(869, 943)

## Group 9 (X: 900-999)
(949, 127)
(904, 140)
(96, 143)
(910, 149)
(918, 148)
(915, 152)
(905, 160)
(946, 160)
(927, 174)
(945, 297)
(921, 307)
(918, 314)
(907, 352)
(942, 353)
(941, 369)
(936, 388)
(948, 390)
(907, 398)
(942, 398)
(904, 465)
(933, 562)
(903, 645)
(926, 861)
